년도,구분,사업ㆍ비사업,서울특별시 송파구 잠실동(CNG),서울특별시 송파구 잠실동(경유),서울특별시 송파구 잠실동(기타연료),서울특별시 송파구 잠실동(수소),서울특별시 송파구 잠실동(엘피지),서울특별시 송파구 잠실동(전기),서울특별시 송파구 잠실동(하이브리드(LPG+전기)),서울특별시 송파구 잠실동(하이브리드(경유+전기)),서울특별시 송파구 잠실동(하이브리드(휘발유+전기)),서울특별시 송파구 잠실동(휘발유),서울특별시 송파구 잠실동(휘발유(무연)),서울특별시 송파구 잠실동(휘발유(유연)),서울특별시 송파구 신천동(CNG),서울특별시 송파구 신천동(경유),서울특별시 송파구 신천동(기타연료),서울특별시 송파구 신천동(엘피지),서울특별시 송파구 신천동(전기),서울특별시 송파구 신천동(하이브리드(LPG+전기)),서울특별시 송파구 신천동(하이브리드(경유+전기)),서울특별시 송파구 신천동(하이브리드(휘발유+전기)),서울특별시 송파구 신천동(휘발유),서울특별시 송파구 신천동(휘발유(무연)),서울특별시 송파구 신천동(휘발유(유연)),서울특별시 송파구 풍납동(CNG),서울특별시 송파구 풍납동(경유),서울특별시 송파구 풍납동(기타연료),서울특별시 송파구 풍납동(엘피지),서울특별시 송파구 풍납동(전기),서울특별시 송파구 풍납동(하이브리드(LPG+전기)),서울특별시 송파구 풍납동(하이브리드(휘발유+전기)),서울특별시 송파구 풍납동(휘발유),서울특별시 송파구 풍납동(휘발유(무연)),서울특별시 송파구 풍납동(휘발유(유연)),서울특별시 송파구 송파동(CNG),서울특별시 송파구 송파동(경유),서울특별시 송파구 송파동(기타연료),서울특별시 송파구 송파동(엘피지),서울특별시 송파구 송파동(전기),서울특별시 송파구 송파동(하이브리드(LPG+전기)),서울특별시 송파구 송파동(하이브리드(휘발유+전기)),서울특별시 송파구 송파동(휘발유),서울특별시 송파구 송파동(휘발유(무연)),서울특별시 송파구 송파동(휘발유(유연)),서울특별시 송파구 석촌동(CNG),서울특별시 송파구 석촌동(경유),서울특별시 송파구 석촌동(기타연료),서울특별시 송파구 석촌동(엘피지),서울특별시 송파구 석촌동(전기),서울특별시 송파구 석촌동(하이브리드(LPG+전기)),서울특별시 송파구 석촌동(하이브리드(휘발유+전기)),서울특별시 송파구 석촌동(휘발유),서울특별시 송파구 석촌동(휘발유(무연)),서울특별시 송파구 석촌동(휘발유(유연)),서울특별시 송파구 삼전동(CNG),서울특별시 송파구 삼전동(경유),서울특별시 송파구 삼전동(기타연료),서울특별시 송파구 삼전동(엘피지),서울특별시 송파구 삼전동(전기),서울특별시 송파구 삼전동(하이브리드(LPG+전기)),서울특별시 송파구 삼전동(하이브리드(휘발유+전기)),서울특별시 송파구 삼전동(휘발유),서울특별시 송파구 삼전동(휘발유(무연)),서울특별시 송파구 삼전동(휘발유(유연)),서울특별시 송파구 가락동(CNG),서울특별시 송파구 가락동(경유),서울특별시 송파구 가락동(기타연료),서울특별시 송파구 가락동(수소),서울특별시 송파구 가락동(엘피지),서울특별시 송파구 가락동(전기),서울특별시 송파구 가락동(하이브리드(LPG+전기)),서울특별시 송파구 가락동(하이브리드(휘발유+전기)),서울특별시 송파구 가락동(휘발유),서울특별시 송파구 가락동(휘발유(무연)),서울특별시 송파구 가락동(휘발유(유연)),서울특별시 송파구 문정동(CNG),서울특별시 송파구 문정동(경유),서울특별시 송파구 문정동(기타연료),서울특별시 송파구 문정동(수소),서울특별시 송파구 문정동(엘피지),서울특별시 송파구 문정동(전기),서울특별시 송파구 문정동(하이브리드(LPG+전기)),서울특별시 송파구 문정동(하이브리드(경유+전기)),서울특별시 송파구 문정동(하이브리드(휘발유+전기)),서울특별시 송파구 문정동(휘발유),서울특별시 송파구 문정동(휘발유(무연)),서울특별시 송파구 문정동(휘발유(유연)),서울특별시 송파구 장지동(CNG),서울특별시 송파구 장지동(경유),서울특별시 송파구 장지동(기타연료),서울특별시 송파구 장지동(엘피지),서울특별시 송파구 장지동(전기),서울특별시 송파구 장지동(하이브리드(CNG+전기)),서울특별시 송파구 장지동(하이브리드(LPG+전기)),서울특별시 송파구 장지동(하이브리드(휘발유+전기)),서울특별시 송파구 장지동(휘발유),서울특별시 송파구 장지동(휘발유(무연)),서울특별시 송파구 장지동(휘발유(유연)),서울특별시 송파구 방이동(CNG),서울특별시 송파구 방이동(경유),서울특별시 송파구 방이동(기타연료),서울특별시 송파구 방이동(수소),서울특별시 송파구 방이동(엘피지),서울특별시 송파구 방이동(전기),서울특별시 송파구 방이동(하이브리드(LPG+전기)),서울특별시 송파구 방이동(하이브리드(휘발유+전기)),서울특별시 송파구 방이동(휘발유),서울특별시 송파구 방이동(휘발유(무연)),서울특별시 송파구 방이동(휘발유(유연)),서울특별시 송파구 오금동(CNG),서울특별시 송파구 오금동(경유),서울특별시 송파구 오금동(기타연료),서울특별시 송파구 오금동(엘피지),서울특별시 송파구 오금동(전기),서울특별시 송파구 오금동(하이브리드(LPG+전기)),서울특별시 송파구 오금동(하이브리드(휘발유+전기)),서울특별시 송파구 오금동(휘발유),서울특별시 송파구 오금동(휘발유(무연)),서울특별시 송파구 오금동(휘발유(유연)),서울특별시 송파구 거여동(CNG),서울특별시 송파구 거여동(경유),서울특별시 송파구 거여동(기타연료),서울특별시 송파구 거여동(엘피지),서울특별시 송파구 거여동(전기),서울특별시 송파구 거여동(하이브리드(LPG+전기)),서울특별시 송파구 거여동(하이브리드(경유+전기)),서울특별시 송파구 거여동(하이브리드(휘발유+전기)),서울특별시 송파구 거여동(휘발유),서울특별시 송파구 거여동(휘발유(무연)),서울특별시 송파구 거여동(휘발유(유연)),서울특별시 송파구 마천동(CNG),서울특별시 송파구 마천동(경유),서울특별시 송파구 마천동(기타연료),서울특별시 송파구 마천동(엘피지),서울특별시 송파구 마천동(전기),서울특별시 송파구 마천동(하이브리드(LPG+전기)),서울특별시 송파구 마천동(하이브리드(경유+전기)),서울특별시 송파구 마천동(하이브리드(휘발유+전기)),서울특별시 송파구 마천동(휘발유),서울특별시 송파구 마천동(휘발유(무연)),서울특별시 송파구 마천동(휘발유(유연))
2013,승용,사업용,1,21,,,283,,,,,13,16,,1,17,,141,,,,,10,16,,,9,,426,,,,15,65,,1,6,,188,,,,4,12,,2,28,,272,,,2,22,33,,1,17,,251,,,,5,11,,77,7,,,180,,,,2,2,,,31,,,278,,,,,24,13,,48,1,,620,,,,,,3,,4,26,,,339,,,2,39,16,,10,14,,1002,,1,,12,39,,,,,265,,,,,,,,3,,,510,,,,,,,
2013,승합,비사업용,,620,15,,275,,,,,2,9,,,276,1,82,,,,,1,,,,341,,172,,,,1,1,,,348,2,191,,,,3,6,,,351,2,162,,,,2,2,,,256,2,155,,,,2,3,,,715,3,,279,,,,,7,,,447,2,,228,,,,,1,1,,1,154,,93,,,,,,3,,1,577,,,192,,,,3,12,,1,363,1,194,,,,2,4,,,475,2,217,,,,,2,4,,,502,1,244,,,,,1,3,
2013,승합,사업용,,244,,,,,,,,,,,,9,,,,,,,,,,,24,,1,,,,3,,,,3,,,,,,,,,,97,,3,,,,,,,,28,,,,,,,,,,40,,,,,,,,,,,85,,,1,,,,,,,,614,76,,,,4,,,,,,,9,,,,,,,1,,,115,79,,,,,,,,,104,,,,,,,,,,,,15,,,,,,,,,
2013,특수,비사업용,,3,2,,,,,,,,,,,11,,,,,,,,,,,2,,,,,,,,,,3,,,,,,,,,,3,,1,,,,,,,,1,,,,,,,,,,9,,,,,,,1,,,,6,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,4,,,,,,,,,,1,,,,,,,,,,,11,,,,,,,,,
2013,특수,사업용,,5,,,,,,,,,,,,7,,,,,,,,,,,4,,,,,,,,,,9,,,,,,,,,,2,,,,,,,,,,4,,,,,,,,,,10,,,,,,,,,,,11,,,,,,,,,,,,4,,,,,,,,,,,17,,,,,,,,,,,29,,,,,,,,,,18,,,,,,,,,,,30,,,,,,,,,
2013,화물,비사업용,,1486,19,,233,,,,,8,9,,16,701,20,53,,,,,10,2,,,843,3,160,,,,10,5,,5,1237,3,185,,,,7,4,,,1065,2,183,,,,6,3,,4,901,,151,,,,3,2,,15,2988,4,,366,,,,5,6,,10,1839,12,,255,,,,,3,2,,1,464,4,85,,,,,1,,,,1645,27,,250,,,,7,6,,,1360,7,207,,,,6,2,,,1192,8,219,,,,,2,3,,,1504,10,259,,,,,5,,
2013,화물,사업용,,101,,,36,,,,,,,,,331,7,89,,,,,,,,,110,5,29,,,,,,,,774,2,30,,,,,,,,267,,30,,,,,,,,79,,24,,,,,,,,328,,,34,,,,,,,,415,2,,79,,,,,,,,,60,1,14,,,,,,,,,106,,,40,,,,,,,,96,7,25,,,,,,,,192,,31,,,,,,,,,216,,42,,,,,,,
2014,승용,비사업용,9,6964,,,1473,2,15,,345,12187,11513,1,3,3272,,540,,18,,168,5518,5553,,7,2548,,926,1,6,87,3055,4097,,3,2953,1,815,,19,121,3884,4897,,2,2023,1,673,,8,67,2424,3118,,2,1874,,636,,10,59,2190,3100,,6,4739,,,1194,,27,176,6126,7433,2,8,4080,1,,1016,1,11,,176,5845,6612,,9,1764,,719,1,,9,68,1752,2509,,3,3985,1,,998,2,24,174,6130,6657,1,5,2412,1,718,,9,73,3040,3809,,4,2511,,983,,11,,63,2296,3563,,2,2238,,1048,2,12,,40,2053,3263,
2014,승용,사업용,,25,,,248,,,,,6,15,,1,5,,133,,,,,7,10,,,16,,428,,,,9,73,,1,6,,243,,,,3,13,,2,35,,275,,,3,16,35,,1,28,,263,,,,9,11,,,6,,,160,,,,,1,,,46,,,269,,,,,15,44,,99,3,,699,,,,,,4,,3,32,,,371,,,4,28,11,,6,15,,985,,1,,4,25,,,,,257,,,,,,,,2,,,540,,,,,,,
2014,승합,비사업용,,625,17,,219,,,,,2,7,,,276,3,67,,,,,1,,,,344,,132,,,,1,,,,321,1,146,,,,3,7,,,352,3,140,,,,2,1,,,245,2,134,,,,2,2,,,699,,,227,,,,,7,,,432,3,,177,,,,,2,2,,1,188,1,105,,,,,,3,,1,565,7,,177,,,,4,11,,,359,1,152,,,,2,3,,,444,1,181,,,,,2,3,,,517,3,197,,,,,1,3,
2014,승합,사업용,3,238,,,,,,,,,,,,6,,,,,,,,,,,19,,,,,,2,,,,91,,2,,,,,,,1,111,,1,,,,,,,,46,,,,,,,,,,55,,,,,,,,,,,9,,,,,,,,,,,614,77,,,,4,,,,,,,9,,,,,,,,,,115,81,,,,,,,,,104,,,,,,,,,,,,14,,,,,,,,,
2014,특수,비사업용,,4,2,,,,,,,,,,,14,,,,,,,,,,,2,,,,,,,,,,3,,,,,,,,,,2,,1,,,,,,,,3,,,,,,,,,,9,,,1,,,,1,,,,9,,,,,,,,,,,,,1,,,,,,,,,,10,,,,,,,,,,,2,,,,,,,,,,4,,,,,,,,,,,10,,,,,,,,,
2014,특수,사업용,,5,,,,,,,,,,,,6,,,,,,,,,,,5,,,,,,,,,,9,,,,,,,,,,4,,,,,,,,,,4,,,,,,,,,,17,,,,,,,,,,,9,,,,,,,,,,,,5,,,,,,,,,,,23,,,,,,,,,,,26,,,,,,,,,,19,,,,,,,,,,,32,,,,,,,,,
2014,화물,비사업용,,1445,28,,217,,,,,8,10,,16,705,24,48,,,,,9,2,,,867,2,132,,,,9,4,,5,1220,7,157,,,,7,5,,,1069,3,165,,,,5,3,,4,885,1,124,,,,3,2,,13,2970,6,,303,,,,8,5,,10,1817,13,,220,,,,,3,2,,1,576,2,94,,,,,,,,,1600,28,,211,,,,8,3,,,1398,6,195,,,,6,2,,,1209,6,191,,,,,2,3,,,1504,16,234,,,,,6,1,
2014,화물,사업용,,110,,,35,,,,,,,,,332,7,101,,,,,,,,,129,5,52,,,,,,,,746,,24,,,,,,,,290,,27,,,,,,,,86,,26,,,,,,,,324,,,35,,,,,,,,357,4,,56,,,,,,,,,71,1,21,,,,,,,,,115,,,25,,,,,,,,98,1,25,,,,,,,,195,,26,,,,,,,,,230,,40,,,,,,,
2015,승용,비사업용,9,7751,,,1308,2,16,,460,12104,11475,4,3,3615,,547,2,17,,222,5415,5383,,10,2765,,865,2,6,112,3007,4018,,4,3276,1,775,,18,159,3842,4831,,2,2218,,650,2,6,93,2386,3040,,,2089,,612,,8,86,2174,2985,,6,5215,,,1105,,24,241,6057,7369,2,12,4648,2,,969,2,13,,226,5799,6549,,6,2208,,727,3,,10,106,2017,2745,,3,4383,1,,944,5,22,232,6039,6436,1,4,2675,,661,1,7,101,2948,3870,,6,2568,,861,2,9,,87,2205,3298,,4,2449,,988,2,10,1,50,2086,3250,
2015,승용,사업용,,42,,,268,,,,,56,40,,2,9,,53,,,,,,1,,,2,,394,,,,,,,1,21,,304,,,,2,28,,,72,,346,,,2,18,51,,,33,,263,,,,6,11,,,18,,,269,1,,,1,13,,,49,,,347,,,,,18,127,,43,4,,765,1,,,,12,6,,1,35,,,380,,,3,29,12,,5,11,,1007,,1,1,4,13,,,,,253,1,,,,,,,2,,,550,1,,,,,,
2015,승합,비사업용,,598,19,,178,,,,,2,5,,,254,3,50,,,,,1,,,,341,,104,,,,1,,,,312,1,125,,,,3,4,,,335,2,110,,,,2,1,,,244,1,107,,,,2,3,,,654,1,,199,,,,,4,,,425,3,,148,,,,,2,1,,1,189,1,77,,,,,,3,,1,545,10,,139,,,,4,9,,,368,2,117,,,,2,5,,,422,2,144,,,,,2,3,,,520,,180,,,,,1,1,
2015,승합,사업용,3,263,,,,,,,,1,,,,,,,,,,,,,,,5,,,,,,,,,,101,,2,,,,,,,1,105,,1,,,,,,,,69,,,,,,,,,,10,,,,,,,,,,9,109,,,,,,,,5,,,630,77,,,,4,,,,,,,10,,,,,,,,,,115,20,,,,,,,,,104,,,,,,,,,,,,16,,,,,,,,,
2015,특수,비사업용,,5,3,,,,,,,,,,,24,,,,,,,,,,,3,,,,,,,,,,5,,,,,,,,,,4,,1,,,,,,,,2,,,,,,,,,,9,,,1,,,,1,,,,6,,,3,,,,,,,,,,1,,,,,,,,,,10,,,,,,,,,,,2,1,,,,,,,,,2,,,,,,,,,,,9,,,,,,,,,
2015,특수,사업용,,1,,,,,,,,,,,,10,,,,,,,,,,,12,,,,,,,,,,18,,,,,,,,,,6,,,,,,,,,,4,,,,,,,,,,21,,,,,,,,,,,11,,,,,,,,,,,,6,,,,,,,,,,,27,,,,,,,,,,,23,,,,,,,,,,19,,,,,,,,,,,42,,,,,,,,,
2015,화물,비사업용,,1413,36,,195,,,,,6,10,,16,677,31,52,,,,,9,1,,,857,3,115,,,,11,4,,7,1240,7,152,,,,9,5,,,1084,5,154,,,,5,1,,4,907,3,109,,,,5,3,,13,2903,10,,279,,,,8,5,,10,1821,23,,195,,,,,1,2,,1,628,4,94,,,,,,1,,,1534,25,,210,,,,5,3,,,1435,10,193,,,,7,1,,,1133,3,158,,,,,,3,,,1518,16,216,,,,,7,,
2015,화물,사업용,,119,,,29,,,,,,,,,360,7,112,,,,,,,,,127,5,54,,,,,,,,734,,15,,,,,,,,291,,22,,,,,,,,88,,26,,,,,,,,334,,,33,,,,,,,,349,5,,55,,,,,,,,,127,2,19,,,,,,,,,156,,,26,,,,,,,,155,1,22,,,,,,,,155,,25,,,,,,,,,234,,46,,,,,,,
2016,승용,비사업용,7,8205,,,1246,5,18,,641,11835,11313,17,1,3823,,489,4,14,,301,5349,5345,7,8,2810,,802,3,5,161,2896,3789,4,3,3481,1,712,1,19,218,3796,4727,8,3,2335,,618,1,6,134,2439,3064,2,1,2209,,581,1,11,112,2190,2970,3,7,5476,,,1050,3,21,322,5801,7259,7,10,5698,,,1022,4,8,,377,6359,7357,7,8,2872,2,739,4,,12,201,2566,3450,6,3,4611,,,874,9,20,311,5884,6326,7,3,2751,,648,2,7,144,2911,3851,6,4,2275,,724,2,9,,118,2018,2928,3,4,2698,,921,2,8,1,74,2018,3197,9
2016,승용,사업용,,43,,,304,,,,,11,38,,2,5,,44,,,,,,1,,,10,,410,,,,,19,,,23,,317,,,,1,22,,,72,,376,,,1,13,45,,,25,,265,,,,2,9,,,28,,,376,,,,1,23,,3,36,,,1217,,,,,10,51,,11,2,,771,2,,,,,4,,,27,,,372,,,6,12,13,,1,11,,197,,,,2,13,,,,,240,1,,,,,,,1,,,536,1,,,,,,
2016,승합,비사업용,,566,19,,143,,,,,3,3,,,237,7,29,,,,,2,,,,309,,89,,,,1,,,,286,2,99,,,,2,4,,,342,3,84,,,,2,,,,226,1,79,,,,2,1,,,615,2,,165,,,,3,5,,,450,4,,128,,,,,2,,,1,219,2,59,,,,,,3,,1,531,9,,127,,,,4,8,,,368,2,98,,,,2,3,,,357,2,98,,,,,2,1,,,481,2,157,,,,,1,1,
2016,승합,사업용,3,232,,,1,,,,,,,,,,,,,,,,,,,,50,,,,,,,,,,100,,2,,,,,,,1,94,,,,,,,,,,36,,,,,,,,,,7,,,,,,,,,,,105,,,,,,,,,,,630,86,,,,4,,,,,,,8,,,,,,,,,,115,15,,,,,,,,,104,,,,,,,,,,,,17,,,,,,,,,
2016,특수,비사업용,,6,3,,,,,,,,,,,19,,,,,,,,,,,2,,,,,,,,,,6,,,,,,,,,,3,1,1,,,,,,,,2,,,,,,,,,,10,,,,,,,,,,,9,,,,,,,,,,,,,1,,,,,,,,,,12,,,,,,,,,,,2,1,,,,,,,,,1,,,,,,,,,,,10,1,,,,,,,,
2016,특수,사업용,,2,,,,,,,,,,,,9,,,,,,,,,,,15,,,,,,,,,,24,,,,,,,,,,7,,,,,,,,,,4,,,,,,,,,,18,,,,,,,,,,,13,,,,,,,,,,,,9,,,,,,,,,,,24,,,,,,,,,,,26,,,,,,,,,,19,,,,,,,,,,,38,,,,,,,,,
2016,화물,비사업용,,1404,35,,175,,,,,7,8,,16,638,37,41,,,,,9,1,,,829,3,106,,,,8,5,,7,1216,9,131,,,,9,5,,,1077,6,155,,,,5,1,,4,922,4,107,,,,4,3,,13,2861,13,,249,,,,10,6,,10,1981,26,,179,,,,,,3,,1,666,9,75,,,,,1,2,,,1483,30,,186,,,,6,2,,,1397,13,167,,,,7,2,,,1046,5,121,,,,,1,1,,,1518,13,211,,,,,5,1,
2016,화물,사업용,,92,,,31,,,,,,,,,411,7,121,,,,,,,,,125,5,53,,,,,,,,718,,13,,,,,,,,360,,50,,,,,,,,87,,23,,,,,,,,335,,,35,,,,,,,,570,7,,24,,,,,,,,,143,2,17,,,,,,,,,149,,,21,,,,,,,,169,1,19,,,,,,,,147,,22,,,,,,,,,242,,47,,,,,,,
2017,승용,비사업용,7,8460,,,1204,14,20,1,843,11867,11303,14,1,3884,,450,12,13,,385,5248,5277,7,4,2886,,759,6,6,219,2798,3752,3,5,3541,1,659,5,15,285,3668,4695,8,,2397,,558,3,5,178,2386,2995,6,,2297,,559,2,7,154,2226,2950,2,4,5721,,,998,7,19,469,5756,7212,10,13,6613,1,,994,9,11,1,562,6944,8162,12,8,3961,,904,14,,19,380,3254,4469,12,2,4788,,,849,19,21,440,5809,6414,8,2,2912,,661,4,8,220,2940,3938,8,3,2162,,638,2,8,,136,1886,2696,2,4,2763,,893,7,7,1,122,2034,3095,7
2017,승용,사업용,,35,,,309,,,,,10,55,,2,,,43,,,,,,,,,13,,431,,,,,22,,,28,,325,,,1,1,32,,,91,,347,,,1,14,37,,,22,,265,,,,1,10,,,34,,,447,,,,1,44,,2,139,,,1384,,,,5,23,110,,6,1,,772,2,,,,,1,,,16,,,359,,,2,4,18,,,10,,191,,,,2,15,,,,,217,1,,,,,,,1,,,660,1,,,,,,
2017,승합,비사업용,,530,18,,123,,,,,2,3,,,214,5,22,,,,,2,,,,315,1,72,,,,1,1,,,263,5,79,,,,2,3,,,334,6,75,,,,2,,,,225,,68,,,,2,1,,,575,,,140,,,,2,4,,,496,7,,102,,,,,3,,,,289,6,62,,,,,,4,,,515,7,,110,,,,5,7,,,357,4,81,,,,2,2,,,310,2,66,,,,,2,1,,,461,4,123,,,,,1,,
2017,승합,사업용,3,207,,,1,,,,,,,,,,,,,,,,,,,,50,,,,,,,,,,86,,2,,,,,,,1,95,,,,,,,,,,33,,,,,,,,,,9,,,,,,,,,,,108,,,,,,,,,,,624,86,,,,4,,,,,,,7,,,,,,,,,,115,5,,,,,,,,,,,,,,,,,,,,104,16,,,,,,,,,
2017,특수,비사업용,,5,3,,,,,,,,,,,14,,,,,,,,,,,3,,,,,,,,,,5,,,,,,,,,,2,2,1,,,,,,,,1,,,,,,,,,,7,,,,,,,,,,,24,2,,,,,,,,,,,,1,,,,,,,,,,13,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,13,1,,,,,,,,
2017,특수,사업용,,1,,,,,,,,,,,,10,,,,,,,,,,,14,,,,,,,,,,26,,,,,,,,,,5,,,,,,,,,,5,,,,,,,,,,22,,,,,,,,,,,14,,,,,,,,,,,,10,,,,,,,,,,,22,,,,,,,,,,,26,,,,,,,,,,19,,,,,,,,,,,43,,,,,,,,,
2017,화물,비사업용,,1373,46,,162,,,,,8,8,,14,3261,38,35,,,,,11,3,,,819,4,99,,,,7,5,,5,1166,11,120,,,,8,5,,,1045,7,132,,,,7,1,,4,898,8,95,,,,5,4,,16,2875,17,,212,6,,,9,7,,10,2294,27,,182,,,,,1,3,,1,699,17,75,,,,,2,2,,,1496,31,,172,,,,7,3,,,1432,16,152,,,,6,2,,,958,5,93,,,,,1,1,,,1473,14,197,,,,,7,1,
2017,화물,사업용,,90,,,29,,,,,,,,,434,7,130,,,,,,,,,114,5,35,,,,,,,,438,,13,,,,,,,,126,,37,,,,,,,,92,,19,,,,,,,,353,,,32,,,,,,,,1266,7,,24,,,,,,,,,145,1,19,,,,,,,,,157,,,19,,,,,,,,163,1,20,,,,,,,,150,,20,,,,,,,,,240,,40,,,,,,,
2018,승용,비사업용,6,8708,,1,1176,50,17,1,1077,11724,11296,13,2,3993,,430,58,18,1,503,5210,5231,7,3,2883,,700,18,2,286,2685,3726,3,3,3617,,615,13,14,374,3657,4727,8,,2500,,535,16,8,248,2343,3050,4,2,2388,,512,11,4,182,2152,3000,2,4,5886,,1,955,21,18,611,5564,7328,11,10,7024,1,1,970,37,14,2,756,7182,8652,10,6,4087,,852,40,,13,497,3362,4570,9,3,4863,1,1,819,29,23,582,5675,6347,12,5,3252,,669,16,6,312,3118,4213,10,4,2203,,604,8,7,1,183,1810,2738,3,4,2785,,833,14,7,1,162,1991,3117,6
2018,승용,사업용,,70,,,290,,,,3,15,63,,1,,,42,,,,,,,,,21,,499,,,,2,45,1,,32,,312,1,,,1,26,,,93,,346,,,4,17,38,,,22,,273,,,1,,11,,,40,,,502,,,,8,59,,1,148,,,1419,,,,1,21,125,,6,1,,716,2,,,,,1,,,23,,,359,,,,7,24,,,24,,217,,,2,4,26,,,,,205,1,,,,,,,1,7,,712,2,,,,3,1,
2018,승합,비사업용,,480,23,,96,,,,,2,3,,,208,9,22,,,,,2,,,,291,2,53,,,,1,,,,259,4,71,,,,1,4,,,316,5,72,,,,3,,,,208,1,65,,,,2,1,,,534,2,,132,,,,2,6,,,459,7,,93,,,,,2,,,,274,8,57,,,,,,6,,,479,9,,99,,,,4,7,,,363,2,74,,,,2,1,,,289,4,55,,,,,1,1,,,437,4,107,,,,,1,,
2018,승합,사업용,4,214,,,2,,,,,,,,,,,,,,,,,,,,53,,1,,,,,,,,93,,3,,,,,,,1,72,,,,,,,,,,32,,,,,,,,,,11,,,,,,,,,,,111,,,,,,,,,,,621,102,,,,4,,,,,,,6,,,,,,,,,,126,8,,,,,,,,,,,,,,,,,,,,104,18,,,,,,,,,
2018,특수,비사업용,,7,3,,,,,,,,,,,11,,,,,,,,,,,4,,,,,,,,,,9,,,,,,,,,,3,2,1,,,,,,,,8,,,,,,,,,,13,,,,,,,,,,,33,,,,,,,,,,,,2,1,,,,,,,,,,16,,,,,,,,,,,1,1,,,,,,,,,2,,,,,,,,,,,15,1,,,,,,,,
2018,특수,사업용,,3,,,,,,,,,,,,12,,,,,,,,,,,13,,,,,,,,,,27,,,,,,,,,,6,,,,,,,,,,8,,,,,,,,,,25,,,,,,,,,,,10,,,,,,,,,,,,11,,,,,,,,,,,48,,,,,,,,,,,35,,,,,,,,,,20,,,,,,,,,,,40,,,,,,,,,
2018,화물,비사업용,,1347,46,,149,,,,,10,8,,10,3608,34,25,,,,,12,3,,,803,5,82,,,,6,5,,,1101,12,113,,,,6,4,,,1003,6,125,,,,6,2,,3,873,3,82,,,,5,5,,12,2850,12,,205,6,,,9,6,,9,2548,33,,185,,,,,2,5,,,663,21,68,,,,,3,1,,5,1520,33,,156,,,,7,4,,,1445,16,129,,,,6,3,,,950,6,80,,,,,1,2,,,1498,20,171,,,,,7,1,
2018,화물,사업용,,101,,,29,,,,,,,,,490,7,124,,,,,,,,,126,5,33,,,,,,,,461,,17,,,,,,,,222,,28,,,,,,,,103,20,14,,,,,,,,358,4,,25,,,,,,,,1319,4,,20,,,,,,,,,154,1,18,,,,,,,,,251,,,16,,,,,,,,186,1,18,,,,,,,,148,,18,,,,,,,,,275,,40,,,,,,,
